uid,org,work_location,certification,issue_date,type
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-06-28,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",API Management Concepts,2017-02-06,badge
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Netezza Technical Mastery Professional v1 (24 Feb 2012),,external certification
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Solution Developer - Cognos Express Xcelerator and Advisor v9 (09 Sep 2011),,external certification
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified SOA Solution Designer [2007] (31 Aug 2009),,external certification
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified System Administrator - IBM WebSphere Portal V6.0 (16 Jun 2007),,external certification
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Certified Web Component Developer for J2EE 1.4 (14 Dec 2005),,external certification
070482781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",(OCA) Oracle Certified Associate - Java Programmer (09 Feb 2004),,external certification
063135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-11-02,badge
063135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM DevSecOps Explorer - Security & Automation for DevOps,2021-02-27,badge
063135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2020-02-18,badge
063135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-01-10,badge
063135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-16,badge
063135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",ITIL V3 Foundation (ITV3F)  (EXIN) (05 Apr 2008),,external certification
063381781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2019-12-09,badge
063381781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-11-24,badge
063381781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-13,badge
063381781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2018-03-30,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Profession Champion,2022-11-18,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","Introduction to Cloud Development with HTML5, CSS3, and JavaScript",2022-08-02,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevSecOps Essentials,2022-04-18,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-07-03,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2021-06-28,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",PMI Professional in Business Analysis (PMI-PBA)®,2021-05-04,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Profession Champion 2020,2021-01-18,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Thought Leader,2020-12-23,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Senior Manager,2020-10-16,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Achiever,2020-02-18,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2020-01-07,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-17,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2019-03-15,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Profession Champion 2017,2018-01-18,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Champion,2017-06-30,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Corporate Service Corps Alum,2017-05-26,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Profession Champion 2015,2017-05-08,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Profession Champion 2016,2017-05-04,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Executive Project Manager,2016-10-21,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",PMI Agile Certified Practitioner (PMI-ACP)®,2015-11-26,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Program Management Professional (PgMP)®,2012-01-28,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Project Management Professional (PMP)®,2008-05-29,badge
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Program Management Professional (PgMP) (28 Jan 2012),,external certification
063375781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Project Management Professional (PMP) (29 May 2008),,external certification
064216781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevSecOps Essentials,2021-04-03,badge
064216781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-31,badge
064216781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-10-05,badge
064216781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-09-13,badge
064216781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Associate Project Manager,2016-10-21,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-12-25,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2020-02-18,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-11-27,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-08-14,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Plateau,2018-12-01,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Patent Issuance,2018-10-01,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-07-10,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2017-06-28,badge
065296781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Supply Chain Management Professional Certification (SCMP) Expert level,2013-12-31,badge
067334781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2017-08-29,badge
067334781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-09-29,badge
067334781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",License to Lead - Senior Manager,2022-05-24,badge
067334781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2021-10-12,badge
067334781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2021-10-10,badge
067701781IBM,Finance and Operations,"Mexico City, Mexico",IBM Agile Explorer,2022-01-18,badge
067701781IBM,Finance and Operations,"Mexico City, Mexico",Enterprise Design Thinking Practitioner,2018-10-02,badge
067701781IBM,Finance and Operations,"Mexico City, Mexico",Architectural Thinking,2017-10-05,badge
067981781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-04-06,badge
067981781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2018-09-28,badge
067981781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers - Gold,2018-04-09,badge
067981781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Corporate Service Corps Alum,2017-05-26,badge
067981781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Project Management Professional (PMP)®,2012-01-30,badge
067981781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Project Management Professional (PMP)®,2012-01-30,badge
068026781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Senior Manager,2020-05-13,badge
068026781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-03-20,badge
068026781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-05-16,badge
077352781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",License to Lead - Senior Manager,2022-11-21,badge
077352781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers Engagement Award,2021-07-21,badge
077352781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Coach,2020-11-06,badge
077352781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Be Leadership,2019-01-28,badge
077352781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Solution Advisor - Cloud Computing Architecture V5,2018-08-21,badge
077352781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-01-23,badge
077352781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Earning Advocacy Practitioner,2017-12-29,badge
077352781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-05-18,badge
069190781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Growth Behaviors,2022-07-10,badge
069190781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2021-12-01,badge
069190781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-08-16,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-01-03,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevSecOps Essentials,2021-03-06,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-10-31,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-10-17,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Discovery Foundations,2020-09-19,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Speaker/ Presenter,2019-05-23,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2019-05-23,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Team Solution Design,2019-03-23,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2019-03-15,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-08-16,badge
079941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-10-17,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Growth Behaviors,2022-10-26,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-06-06,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-12-07,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-09-26,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2020-09-22,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2020-02-18,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2019-09-05,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-31,badge
071886781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-03-28,badge
070293781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2021-10-04,badge
070293781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2021-08-05,badge
070293781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2018-05-15,badge
070293781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2017-11-30,badge
070293781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2017-06-25,badge
070293781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Champion,2017-06-21,badge
070293781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-06-09,badge
075951781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2020-02-18,badge
075951781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-07-19,badge
075951781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blockchain Essentials for Developers,2017-05-08,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-10-25,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Mindset, Learning Agility, Time Management",2020-12-04,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Machine Learning with Python - Level 1,2020-11-25,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-11-06,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-10-15,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2020-08-11,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Visualization Using Python,2020-05-28,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Analysis Using Python,2020-05-28,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2020-05-28,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Applied Data Science with Python - Level 2,2020-05-26,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",App Modernization Basics,2020-03-06,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Quantum Conversations,2020-01-01,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Problem Solving, Emotional Intelligence",2019-09-11,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2018-10-13,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2018-10-03,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers - Gold,2018-07-24,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Statistics 101,2018-06-14,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 2,2018-03-23,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 2 (V2),2018-03-23,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2018-03-09,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Systems Foundations v1,2018-01-16,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Co-Creator,2018-01-04,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2017-12-29,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Service Corps Alum,2017-11-16,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-08-10,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-08,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud App Developer,2016-07-20,badge
077396781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Developer Bootcamp,2016-06-27,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Thought Leader,2022-05-16,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Initiative Leadership - Bronze Level,2020-04-14,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",PMI Agile Certified Practitioner (PMI-ACP)®,2020-11-04,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Consulting,2019-07-25,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Member - IBM Academy of Technology,2020-03-13,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Speaker/ Presenter,2020-09-09,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Achiever,2017-05-09,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2019-08-29,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-12-22,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation: Compass,2021-12-20,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2021-08-07,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-11-14,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private - Foundation Technology,2020-09-22,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials V2,2020-06-25,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-06-11,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blockchain Essentials for Developers,2017-04-18,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-03-31,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Quantum Conversations,2022-10-20,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Academic Ambassador Advocate,2022-08-17,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Growth Behaviors,2022-07-20,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Agile Coaching,2021-11-23,badge
079945781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Agile Team Facilitation,2021-11-23,badge
077336781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Building Cloud-Native and Multicloud Applications,2022-12-23,badge
077336781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-10-01,badge
077336781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-02-18,badge
077336781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2020-02-18,badge
078217781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Practitioner,2021-03-29,badge
078217781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-10-14,badge
078217781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-10-13,badge
078217781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-08-27,badge
078217781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2020-02-18,badge
078217781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Co-Creator,2018-08-22,badge
078217781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-08-01,badge
078217781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-10-05,badge
079001781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-06-30,badge
079001781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-02-18,badge
079001781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Manager,2019-08-27,badge
079001781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-01-09,badge
079001781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Advisory Project Manager,2016-10-21,badge
001054781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - SMP/E - Fundamentals,2020-10-24,badge
001054781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-16,badge
001054781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-04-10,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - IBM Mainframe Environment - Fundamentals 2.4,2022-08-18,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Application Programmer - PL/1 Programming - Expert,2021-11-27,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - REXX Programming - Experienced,2021-04-03,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2021-02-12,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - SMP/E - Fundamentals,2021-02-12,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-12-29,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - Job Control Language - Experienced,2020-11-28,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Application Programmer - DB2 SQL Coding,2020-07-18,badge
000135781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-20,badge
079353781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2021-11-02,badge
079353781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-07-03,badge
079353781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-20,badge
079353781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",z/OS Introduction Workshop,2018-07-11,badge
079353781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-09-26,badge
109848781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-11-11,badge
109848781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-10-25,badge
Y9G8C9638IBM,Finance and Operations,"Vilnius, VL , Lithuania",Enterprise Design Thinking Practitioner,2020-01-12,badge
Y9G8C9638IBM,Finance and Operations,"Vilnius, VL , Lithuania",IBM Agile Explorer,2017-12-28,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - DevOps Fundamentals,2022-04-23,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Performance - Fundamentals,2022-03-18,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - SMP/E - Fundamentals,2021-11-06,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Systems Programmer - Programming Tools,2021-04-24,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Mainframe Application Services - Assembler Programming Essentials,2021-04-24,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation: Compass,2020-11-26,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Application Programmer - Assembler Programming - Experienced,2020-09-19,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-08-22,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-07-03,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-17,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - REXX Programming - Experienced,2019-10-20,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Application Programmer - PL/1 Programming - Expert,2019-04-24,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",z/OS Introduction Workshop,2018-07-11,badge
020921781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-04-03,badge
000714781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Performance - Fundamentals,2022-01-14,badge
000714781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - IBM Mainframe Environment - Fundamentals 2.4,2022-01-01,badge
000714781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Introduction to IBM z/OS,2021-12-18,badge
000714781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - Parallel Sysplex - Foundations 2.4,2021-06-25,badge
